|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
inc_intelligence_converted_magic_damage|of Intelligence Added as Magic Skill Damage||de Inteligência convertida em Dano de Habilidade Mágica|Интеллект, добавленный в качестве урона от магических навыков.|智力轉為魔法技能傷害|知力が魔法スキルダメージに変換|지능을 마법 스킬 데미지로 전환|Intelligenz wird in Magiefertigkeitsschaden umgewandelt|d'intelligence ajoutée en tant que dégâts de compétence magique|de inteligencia convertida en daño de habilidades mágicas|Inteligencji konwertowanej na Obrażenia Umiejętności Magicznych
inc_temporal_echo|Temporal Echo Damage||Dano de Eco Temporal|Урон от «Временного эха»|時間回響傷害|テンポラルエコーダメージ|시간의 메아리 데미지|Schaden durch Zeitecho|Dégâts d'Écho Temporel|Daño de eco temporal|Obrażenia Temporalnego Echa
inc_attack_speed_added_magic_damage|of your Increased Attack Speed is added as Magic Skill Damage||do seu Aumento de Velocidade de Ataque é adicionado como Dano de Habilidade Mágica|увеличенная скорость атаки добавляется в качестве урона от магических навыков|的攻擊速度值增加為魔法技能傷害|攻撃速度増加が魔法スキルダメージとして追加|증가된 공격 속도가 마법 스킬 데미지로 추가|Deine erhöhte Angriffsgeschwindigkeit wird als Magiefertigkeitsschaden hinzugefügt|Votre bonus de vitesse d'attaque est ajouté en dégâts de capacité magique|de tu velocidad de ataque aumentada se añade como daño de habilidad mágica|Część twojej Zwiększonej Szybkości Ataku dodawana jako Obrażenia Umiejętności Magicznych
inc_cannot_replenish_life|You cannot regenerate life from life replenish anymore||Você não pode mais regenerar vida com Reposição de Vida|Вы больше не можете восстанавливать здоровье с помощью восстановления здоровья|您無法再從生命回復效果中回復生命|ライフ回復でライフを回復できなくなりました|더 이상 생명력 회복으로 생명력을 회복할 수 없다.|Du kannst kein Leben mehr durch Lebenswiederherstellung regenerieren|Vous ne pouvez plus régénérer de points de vie avec Régénération de Vie|Ya no puedes regenerar vida mediante reposición de vida|Nie możesz już regenerować życia z odnawiania życia
inc_time_surge|Chance for Spell Critical hits to grant Time Surge for 5 seconds||Chance de Acertos Críticos de Feitiço concederem Surto Temporal por 5 segundos|Шанс на то, что критические удары заклинаний дадут «Взрыв времени» на 5 секунд|機率法術暴擊時獲得5秒的時間涌動|スペルクリティカルヒット発生確率5秒間タイムサージを付與|주문 치명타 시 5초 동안 시간의 파동을 부여할 확률|Chance, dass kritische Zaubertreffer 5 Sekunden lang Zeitschub gewähren|Chance d'infliger Surcharge Temporelle pendant 5 secondes lors des coups critiques des sorts|Probabilidad de que los críticos de hechizos otorguen Surto temporal por 5 segundos|Szansa na trafienie krytyczne czarem na przyznanie Time Surge na 5 sekund
inc_extra_spell_projectiles|Extra Spell Projectiles||Projéteis de Feitiço Extras|Дополнительные снаряды заклинаний|額外法術投射物|追加の呪文弾丸|추가 주문 투사체 발사|Zusätzliche Zauberprojektile|Projectiles de sorts supplémentaires|Proyectiles de hechizo adicionales|Dodatkowe Pociski Czarów
inc_faster_cast_rate|Increased Faster Cast Rate||Aumento da Taxa de Conjuração Mais Rápida|Увеличенная скорость произнесения заклинаний|施法速度|詠唱速度上昇|시전 속도 증가|Erhöhte Zaubergeschwindigkeit|Vitesse d'incantation accrue |Velocidad de conjuración aumentada|Zwiększona Szybsza Szybkość Rzucania
inc_faster_cast_rate_total|Increased Total Faster Cast Rate||Aumento da Taxa de Conjuração Mais Rápida Total|Увеличенная общая скорость произнесения заклинаний|總施法速度|合計詠唱速度上昇|총 시전 속도 증가|Erhöhte Gesamtzaubergeschwindigkeit|Vitesse d'incantation totale accrue|Velocidad de conjuración total aumentada|Zwiększona Całkowita Szybsza Szybkość Rzucania
inc_spell_haste|to Spell Haste||para Aceleração de Feitiço|в виде скорости произнесения заклинаний|法術急速|呪文ヘイスト|주문 가속|durch Zaubertempo|Pour l'accélération des sorts|a la celeridad de hechizos|do Przyspieszenia Czarów
inc_overheat|Increased Total Damage and Decreased Cast Rate from over heat||Aumento do Dano Total e Diminuição da Taxa de Conjuração devido ao superaquecimento|Увеличен Общий урон и снижение скорости применения заклинаний из-за перегрева|總傷害但在過熱時施法速率降低|オーバーヒートによる合計ダメージ増加と詠唱速度低下|과열로 인한 총 데미지 증가 및 시전 속도 감소|Erhöhter Gesamtschaden und verringerte Zaubergeschwindigkeit durch Überhitzung|Dégâts totaux accrus et vitesse d'incantation réduite en raison de la surchauffe|Daño total aumentado y velocidad de conjuración reducida por sobrecalentamiento|Zwiększone Całkowite Obrażenia i Zmniejszona Szybkość Rzucania z przegrzania
inc_wizardry|Faster Cast Rate per Stack of Wizardry||Taxa de Conjuração Mais Rápida por Acúmulo de Magia|Более высокая скорость применения заклинаний за каждый стак Волшебства|每層巫術提供的更快施法速率|ウィザードリースタックごとの詠唱速度上昇|위저드리 중첩당 시전 속도 증가|Erhöhte Zaubergeschwindigkeit pro Zauberwirker-Stapel|Vitesse d'incantation accrue par charge de sort|Velocidad de conjuración por acumulación de brujería|Szybsza Szybkość Rzucania na Stack Wizardry
inc_mageguard_chance|Chance to gain a stack of Mage Guard when you cast a spell up to 25 stacks||Chance de ganhar um acúmulo de Guarda Mágica ao conjurar um feitiço, até 25 acúmulos|Шанс получить стак Защиты Мага при применении заклинания (до 25 стаков)|機率施放法術時獲得一層法師護盾，最多25層|呪文詠唱時にメイジガードスタックを1つ獲得する確率（最大25スタック）|주문 시전 시 마법사의 수호 중첩 획득 확률 (최대 25중첩)|Chance, beim Wirken eines Zaubers einen Stapel Magierschutz zu erhalten (bis zu 25 Stapel)|Chance d'obtenir une charge de Garde magique lors de l'incantation d'un sort, jusqu'à 25 charges|Probabilidad de obtener una carga de Guardia mágica al lanzar un hechizo (máx. 25)|Szansa na zyskanie stacka Mage Guard przy rzucaniu czaru, maksymalnie 25 stacków
inc_mageguard_reduction|Damage Reduction per stack of Mage Guard||Redução de Dano por acúmulo de Guarda Mágica|Снижение урона за каждый стак Защиты Мага|由每層法師護盾提供的傷害減免|メイジガードスタックごとのダメージ軽減|마법사의 수호 중첩당 데미지 감소|Schadensreduktion pro Stapel Magierschutz|Réduction des dégâts par charge de Garde magique|Reducción de daño por acumulación de Guardia mágica|Zmniejszenie Obrażeń na stack Mage Guard
inc_mana_replenish|to Mana Replenish||para Reposição de Mana|для восстановления маны|法力回復|マナ回復|마나 회복|durch Manaregeneration|Pour la régénération de mana |a la reposición de maná|do Odnawiania Many
inc_mana_replenish_total|Total Mana Replenish||Reposição Total de Mana|Общее восстановление маны|總法力回復|合計マナ回復量|총 마나 회복량|Gesamte Manaregeneration|Régénération de mana complète|Reposición de maná total|Całkowite Odnawianie Many
inc_max_mana_per_second|of Maximum Mana regenerated per second||de Mana Máxima regenerada por segundo|от максимального количества маны, восстанавливаемой в секунду|每秒回復的最大法力|1秒あたりの最大マナ回復量|초당 최대 마나 회복량|des maximal pro Sekunde regenerierten Manas|Mana régénéré maximum par seconde|del maná máximo regenerado por segundo|Część Maksymalnej Many regenerowana na sekundę
inc_spell_aoe|Increased Spell Area of Effect Radius||Aumento do Raio da Área de Efeito do Feitiço|Увеличенный радиус действия заклинаний|法術範圍效果半徑|呪文範囲効果半徑増加|주문 범위 증가|Erhöhter Zauberwirkungsradius|Rayon d'effet des sorts augmenté|Radio de área de efecto de hechizos aumentado|Zwiększony Promień Obszaru Efektu Czarów
inc_spell_aoe_damage|Increased Area of Effect Spell Damage||Aumento do Dano do Feitiço em Área de Efeito|Увеличенный урон от заклинаний с эффектом области действия|範圍效果法術傷害|範囲効果呪文ダメージ増加|범위 주문 데미지 증가|Erhöhter Flächenzauberschaden|Dégâts des sorts de zone augmentés|Daño de hechizos de área de efecto aumentado|Zwiększone Obrażenia Obszarowe Czarów
inc_spell_crit_chance|Chance to Critically Hit with Spells||Chance de Acerto Crítico com Feitiços|Шанс на критический удар заклинаниями|法術暴擊機率|呪文クリティカルヒット率増加|주문 치명타 확률 증가|Chance auf kritische Zaubertreffer|Chance de coup critique des sorts augmentée|Probabilidad de golpe crítico con hechizos|Szansa na Trafienie Krytyczne Czarami
inc_spell_crit_damage|Increased Spell Critical Damage||Aumento do Dano Crítico do Feitiço|Увеличенный критический урон заклинаниями|法術暴擊傷害|呪文クリティカルダメージ増加|주문 치명타 데미지 증가|Erhöhter kritischer Zauberschaden|Dégâts critiques des sorts augmentés|Daño crítico de hechizos aumentado|Zwiększone Obrażenia Krytyczne Czarów
